bohr_id,X,Y,latitude,longitude,dataset
Buttstädt_2_1964,4458982.2,5664557.3,51.11460816490556,11.412732265077933,All Points
Buttstädt_3_1973,4459104.5,5666396.1,51.13114441940989,11.414269992045016,All Points
Buttstädt_4_1973,4455920.2,5666309.1,51.1301260949311,11.36879326466229,All Points
Buttstädt_5_1974,4461195.2,5666374.6,51.13109673625472,11.444138052920447,All Points
Buttstädt_6_1974,4457356.2,5667469.7,51.14066650939279,11.389168492804949,All Points
Buttstädt_7_1974,4455375.6,5668458.9,51.1494064920357,11.36074742884541,All Points
Creuzburg_1_1966,4379809.96,5657988.62,51.04445727674119,10.284646292110253,All Points
Creuzburg_2_1967,4382608.59,5657654.69,51.042035452587264,10.324643081462849,All Points
Deicheroda_1_1963,4360277.06,5627655.67,50.76754159297606,10.017889337556923,All Points
Doehlau_1_1963,4432660.2,5581707.1,50.36746016642391,11.052024903400167,All Points
Doehlau_2_1964,4433034.4,5582727.4,50.37667396202586,11.057102029383772,All Points
Dreisbach_1_1963,4404875.1,5606580.4,50.587166361320705,10.655269350000244,All Points
Elende_12_1977,4407533.8,5701710.0,51.442471420843034,10.668553750796969,All Points
Erfurt_1_2013,4432701.0,5654500.0,51.02173387042493,11.039335899788822,All Points
Ettersberg_4_1962,4448150.3,5654874.5,51.02670107173805,11.259446552279176,All Points
Ettersberg_5_1962,4447764.8,5653848.1,51.01744080838894,11.254100154410317,All Points
Ettersberg_6_1962,4447272.2,5652635.4,51.006496005963406,11.247257123455354,All Points
